央视卫视,#genre#
咪咕视频27,http://23.237.228.133/live2/migutv27.m3u8
咪咕视频28,http://23.237.228.133/live2/migutv28.m3u8
咪咕视频29,http://23.237.228.133/live2/migutv29.m3u8
咪咕视频30,http://23.237.228.133/live2/migutv30.m3u8
咪咕视频31,http://23.237.228.133/live2/migutv31.m3u8
咪咕视频32,http://23.237.228.133/live2/migutv32.m3u8
咪咕视频33,http://23.237.228.133/live2/migutv33.m3u8
咪咕视频34,http://23.237.228.133/live2/migutv34.m3u8
咪咕视频35,http://23.237.228.133/live2/migutv35.m3u8
咪咕视频36,http://23.237.228.133/live2/migutv36.m3u8
测试,http://23.237.228.133/live2/tencent1.m3u8
测试2,http://23.237.228.133/live2/tencent2.m3u8
测试3,http://23.237.228.133/live2/tencent3.m3u8
测试4,http://23.237.228.133/live2/tencent4.m3u8
测试5,http://23.237.228.133/live2/tencent5.m3u8
测试6,http://23.237.228.133/live2/tencent6.m3u8
测试7,http://23.237.228.133/live2/tencent7.m3u8
测试8,http://23.237.228.133/live2/tencent8.m3u8

今日体育,#genre#
09:00_篮球直播节目_《早安Tip-Off》第56期：“大卫”·布伦森 vs “歌利亚”·文班亚马_段冉 孙悦 果果,http://d.jsy777.top/box//tx.php?id=10000000
09:30_NBA杯冠军赛_尼克斯 vs 马刺_段冉 孙悦 果果,http://d.jsy777.top/box//tx.php?id=10000001
09:30_NBA杯冠军赛_尼克斯 vs 马刺_二路-皓篮球,http://d.jsy777.top/box//tx.php?id=10000002
10:00_NBA G联赛开季赛_撕裂之城混音 vs 斯托克顿国王_孔祥宇 殳海,http://d.jsy777.top/box//tx.php?id=10000003
16:00_NBA经典赛_NBA常规赛精彩回顾：尼克斯vs魔术,http://d.jsy777.top/box//tx.php?id=10000004
18:00_NBA经典赛_NBA常规赛精彩回顾：马刺vs雷霆,http://d.jsy777.top/box//tx.php?id=10000005
20:00_NBA经典赛_NBA杯冠军赛精彩回顾：马刺vs尼克斯,http://d.jsy777.top/box//tx.php?id=10000006
18:00_东亚超级联赛_东亚超级联赛 首尔SK骑士vs宇都宫王道,http://d.jsy777.top/box//tx.php?id=10000007
18:00_东亚超级联赛_东亚超级联赛 东京电击vs昌原LG猎隼,http://d.jsy777.top/box//tx.php?id=10000008
18:30_东亚超级联赛_东亚超级联赛 琉球黄金帝王vs澳门黑熊,http://d.jsy777.top/box//tx.php?id=10000009
[NBA] 09:30 马刺VS尼克斯 杨健 曾令旭 秋童,http://d.jsy777.top/box//migu.php?id=10000000
[NBA] 09:30 马刺VS尼克斯 王晓晨,http://d.jsy777.top/box//migu.php?id=10000001
[NBA] 09:30 马刺VS尼克斯 莫俊祺,http://d.jsy777.top/box//migu.php?id=10000002
[NBA] 09:30 马刺VS尼克斯 洪荒,http://d.jsy777.top/box//migu.php?id=10000003
[NBA] 09:30 马刺VS尼克斯 英文原声,http://d.jsy777.top/box//migu.php?id=10000004
[东亚超级联赛] 18:10 首尔SK骑士vs宇都宫王道 王冠证,http://d.jsy777.top/box//migu.php?id=10000005
[东亚超级联赛] 18:10 东京电击vs昌源LG猎鹰 清流播出3,http://d.jsy777.top/box//migu.php?id=10000006
[东亚超级联赛] 18:40 琉球黄金帝王vs澳门黑熊 清流播出2,http://d.jsy777.top/box//migu.php?id=10000007
[WCBA] 19:30 山西竹叶青酒 VS 浙江稠州银行 清流播出,http://d.jsy777.top/box//migu.php?id=10000008
[WCBA] 19:30 四川蜀道远达 VS 北京首钢园 清流播出,http://d.jsy777.top/box//migu.php?id=10000009
[WCBA] 19:30 石家庄英励 VS 上海浦发银行 清流播出,http://d.jsy777.top/box//migu.php?id=10000010
[WCBA] 19:30 厦门银行 VS 合肥文旅 清流播出,http://d.jsy777.top/box//migu.php?id=10000011
[浙江省城市篮球联赛] 19:30 柯城VS湖州 2025浙江省城市篮球联赛: 柯城VS湖州,http://d.jsy777.top/box//migu.php?id=10000012
